2019/03/18 08:46:44 CET Importing files from project directory C:/WCs/ESDBusinessDevelopment/Product_Input/DemoModels/AdaptiveCruiseControl
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/SIUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/analysisHarness_ACC_FormalVerifications_sensorFusion__impl_0.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/Cla_CommonUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/ACC_Architecture.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/Unittest_Helper_NonIsolated.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/Testgen_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\sensorFusion__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/___SimulationRuntime.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\analysisHarness_TestCaseGeneration_sensorFusion__impl_0.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/sensorFusion__impl.h:9:10: fatal error: 'stdbool.h' file not found
